행정동코드,행정동명,법정동코드,법정동명
1117056000,원효로1동,1117011200,원효로1가
1117056000,원효로1동,1117011300,원효로2가
1117057000,원효로2동,1117011400,신창동
1117057000,원효로2동,1117011600,청암동
1117057000,원효로2동,1117011700,원효로3가
1117064000,이촌2동,1117012900,이촌동
1117065000,이태원1동,1117013000,이태원동
1117057000,원효로2동,1117011800,원효로4가
1117058000,효창동,1117011900,효창동
1117059000,용문동,1117012000,도원동
1117059000,용문동,1117012100,용문동
1117056000,원효로1동,1117012200,문배동
1117056000,원효로1동,1117012300,신계동
1117062500,한강로동,1117012400,한강로1가
1117062500,한강로동,1117012500,한강로2가
1117062500,한강로동,1117012600,용산동3가
1117055500,청파동,1117011000,청파동2가
1117055500,청파동,1117011100,청파동3가
1117057000,원효로2동,1117011500,산천동
1117069000,서빙고동,1117013400,주성동
1117069000,서빙고동,1117013500,용산동6가
1117070000,보광동,1117013600,보광동
1117000000,용산구,1117000000,용산구
1117051000,후암동,1117010100,후암동
1117052000,용산2가동,1117010200,용산동2가
1117052000,용산2가동,1117010300,용산동4가
1117053000,남영동,1117010400,갈월동
1117053000,남영동,1117010500,남영동
1117053000,남영동,1117010600,용산동1가
1117053000,남영동,1117010700,동자동
1117055500,청파동,1117010800,서계동
1117062500,한강로동,1117012700,용산동5가
1117062500,한강로동,1117012800,한강로3가
1117063000,이촌1동,1117012900,이촌동
1117055500,청파동,1117010900,청파동1가
1117068500,한남동,1117013100,한남동
1117069000,서빙고동,1117013200,동빙고동
1117069000,서빙고동,1117013300,서빙고동
1117066000,이태원2동,1117013000,이태원동
