"노드링크 유형","노드 WKT","노드 ID","노드 유형 코드","링크 WKT","링크 ID","링크 유형 코드","시작노드 ID","종료노드 ID","링크 길이","시군구코드","시군구명","읍면동코드","읍면동명","지하철역코드","지하철역명","리프트","엘리베이터"
"NODE","POINT(126.98270162478514 37.56962187537021)","86843","0","","0","","","","","1111000000","종로구","1111012300","서린동","273","종각","0","0"
"NODE","POINT(126.957311447406 37.57514399751153)","213707","1","","0","","","","","1111000000","종로구","1111018700","무악동","152","독립문","0","0"
"LINK","","0","","LINESTRING(127.00036388634449 37.57092784136283,127.00043946903459 37.57083670977911)","203043","1000","212630","211596","12.1200","1111000000","종로구","1111016300","종로5가","266","종로5가","0","0"
"LINK","","0","","LINESTRING(127.00208968641434 37.571173709765596,127.0020788375253 37.57126089666362)","219503","1000","212799","138140","9.7240","1111000000","종로구","1111016300","종로5가","266","종로5가","0","0"
"LINK","","0","","LINESTRING(126.99965918179605 37.57100628699029,126.99975600586143 37.57101308730561)","226364","1000","211792","211768","8.5870","1111000000","종로구","1111016100","종로4가","266","종로5가","0","0"
"LINK","","0","","LINESTRING(127.00178076510795 37.57115952907968,127.0016615459382 37.57116126066977)","248007","1000","212193","185967","10.5340","1111000000","종로구","1111016300","종로5가","266","종로5가","0","0"
"LINK","","0","","LINESTRING(127.00193818725627 37.5708237971757,127.00213423254078 37.570830886669704)","280695","1000","212125","211676","17.3370","1111000000","종로구","1111016300","종로5가","266","종로5가","0","0"
"NODE","POINT(126.98455989793267 37.570216364888275)","212578","0","","0","","","","","1111000000","종로구","1111013800","종로2가","273","종각","0","0"
"NODE","POINT(126.98602425507646 37.570367862010315)","212580","1","","0","","","","","1111000000","종로구","1111013800","종로2가","273","종각","0","0"
"LINK","","0","","LINESTRING(126.99969620374662 37.57076601775221,126.99949116520736 37.57075921697075)","273117","1000","212701","212674","18.1290","1111000000","종로구","1111016100","종로4가","266","종로5가","0","0"
"NODE","POINT(126.98261142753643 37.56985908587345)","212609","0","","0","","","","","1111000000","종로구","1111012300","서린동","273","종각","0","0"
"NODE","POINT(126.97232742324682 37.57627262400803)","212610","0","","0","","","","","1111000000","종로구","1111011400","내자동","271","경복궁(정부서울청사)","0","0"
"NODE","POINT(126.97275521579131 37.576199430537514)","212613","0","","0","","","","","1111000000","종로구","1111010700","적선동","271","경복궁(정부서울청사)","0","0"
"NODE","POINT(126.97259187302636 37.576090635405826)","212614","0","","0","","","","","1111000000","종로구","1111010700","적선동","271","경복궁(정부서울청사)","0","0"
"NODE","POINT(127.00031416847236 37.571054312597234)","212620","0","","0","","","","","1111000000","종로구","1111016300","종로5가","266","종로5가","0","0"
"NODE","POINT(127.011918860164 37.57205382516591)","212623","0","","0","","","","","1111000000","종로구","1111017400","창신동","272","동대문","0","0"
"NODE","POINT(126.98480046456208 37.570374803668464)","212626","1","","0","","","","","1111000000","종로구","1111013800","종로2가","273","종각","0","0"
"NODE","POINT(127.00036388634449 37.57092784136283)","212630","0","","0","","","","","1111000000","종로구","1111016300","종로5가","266","종로5가","0","0"
"NODE","POINT(126.97321585505145 37.57564865645558)","212631","1","","0","","","","","1111000000","종로구","1111010700","적선동","271","경복궁(정부서울청사)","0","0"
"NODE","POINT(126.977503872108 37.57072118731253)","212634","1","","0","","","","","1111000000","종로구","1111011900","세종로","274","광화문(세종문화회관)","0","0"
"LINK","","0","","LINESTRING(127.01591211120255 37.573238455348914,127.0158608830301 37.57329756951232)","258522","1000","212374","211842","7.9700","1111000000","종로구","1111017500","숭인동","268","동묘앞","0","0"
"LINK","","0","","LINESTRING(127.01582230682997 37.573486717947645,127.01582230682997 37.573486717947645,127.0158608830301 37.57329756951232)","218988","1000","212802","211842","21.2680","1111000000","종로구","1111017500","숭인동","268","동묘앞","0","0"
"LINK","","0","","LINESTRING(126.99171786464792 37.570564803847354,126.99136290743297 37.5705553495967)","270419","1000","211614","139634","31.3750","1111000000","종로구","1111015600","종로3가","265","종로3가","0","0"
"LINK","","0","","LINESTRING(126.9925895416659 37.57044209571254,126.99261106132509 37.5702646951508)","270469","1000","211612","211619","19.7810","1111000000","종로구","1111015600","종로3가","265","종로3가","0","0"
"LINK","","0","","LINESTRING(126.98885283301232 37.57245082068118,126.98897026215894 37.57251007537009,126.98952482506996 37.572514833992784)","243328","1000","211639","135570","61.2760","1111000000","종로구","1111013700","낙원동","265","종로3가","0","0"
"LINK","","0","","LINESTRING(126.99261106132509 37.5702646951508,126.99240927281508 37.570262049296254)","243480","1000","211619","211586","17.8290","1111000000","종로구","1111015600","종로3가","265","종로3가","0","0"
"LINK","","0","","LINESTRING(126.99116601227134 37.57258859337991,126.9911693278095 37.5725257295237)","247416","1000","211643","211597","6.9830","1111000000","종로구","1111015300","돈의동","265","종로3가","0","0"
"LINK","","0","","LINESTRING(126.99140033532385 37.57020668600982,126.9917410583361 37.57022514170538)","225127","1000","211588","211591","30.1700","1111000000","종로구","1111015600","종로3가","265","종로3가","0","0"
"LINK","","0","","LINESTRING(126.99214130747008 37.57041738185907,126.9925895416659 37.57044209571254)","237524","1000","211584","211612","39.6930","1111000000","종로구","1111015600","종로3가","265","종로3가","0","0"
"LINK","","0","","LINESTRING(126.99261106132509 37.5702646951508,126.99280954057095 37.57028050572148)","196717","1000","211619","211598","17.6220","1111000000","종로구","1111015600","종로3가","265","종로3가","0","0"
"NODE","POINT(127.02297735704515 37.57595176742774)","211950","0","","0","","","","","1111000000","종로구","1111017500","숭인동","119","신설동","0","1"
"LINK","","0","","LINESTRING(127.00173917151919 37.57081197881634,127.00174312956021 37.57067876388195)","273825","1000","211641","138176","14.7890","1111000000","종로구","1111016300","종로5가","266","종로5가","0","0"
"LINK","","0","","LINESTRING(126.99969620374662 37.57076601775221,126.99980157077349 37.57077508474403)","264311","1000","212701","211794","9.3630","1111000000","종로구","1111016100","종로4가","266","종로5가","0","0"
