시설이름,시설종류,주소,경도,위도,지정범위기준
서울특별시교육청 직장어린이집,어린이집,서울특별시 용산구 두텁바위로 37,126.975716,37.54623584,50m
데시앙아띠어린이집,어린이집,서울특별시 용산구 효창원로 227 106동 1층,126.9629057,37.54752995,50m
원효루미니어린이집,어린이집,서울특별시 용산구 원효로97길 15 1층,126.969381,37.54145907,50m
서머힐어린이집,어린이집,"서울특별시 용산구 장문로 27 상가동, 102호 (이태원동, 청화아파트)",126.9936736,37.52910835,50m
삼각지어린이집,어린이집,"서울특별시 용산구 백범로99길 40 1,2층",126.9716462,37.53582388,50m
큰나래어린이집,어린이집,"서울특별시 용산구 서빙고로 17 102동 1,2,3층",126.9678958,37.5252553,50m
국립중앙박물관 해누림 어린이집,어린이집,서울특별시 용산구 서빙고로 137 국립중앙박물관,126.9776012,37.52349496,50m
목멱어린이집,어린이집,서울특별시 용산구 회나무로12나길 10,126.9909255,37.53904801,50m
용산소방서직장어린이집,어린이집,서울특별시 용산구 한강대로 167 용산소방서,126.971579,37.53408944,50m
용산캐슬어린이집,어린이집,"서울특별시 용산구 백범로 313 키즈클럽(효창동,롯데캐슬센터포레)",126.9630736,37.53981745,50m
해늘어린이집,어린이집,"서울특별시 용산구 이촌로34길 29 이촌동, 현대한강아파트 관리동",126.956664,37.52363689,50m
동부이촌어린이집,어린이집,서울특별시 용산구 이촌로 193 관리동 1층,126.9683937,37.52159354,50m
삼일어린이집,어린이집,"서울특별시 용산구 한강대로 95 B동 4층 410호(한강로2가,래미안용산)",126.9673947,37.52954731,50m
사랑꿈어린이집,어린이집,서울특별시 용산구 원효로 216 관리동 1층,126.9665272,37.53672264,50m
사랑나무어린이집,어린이집,서울특별시 용산구 후암로 4-8 후암동,126.9788165,37.54635357,50m
맑은숲어린이집,어린이집,서울특별시 용산구 한남대로40길 76 맑은숲어린이집,127.0032951,37.54503816,50m
아모레퍼시픽 서울어린이집,어린이집,서울특별시 용산구 한강대로 100 (주)아모레퍼시픽 2층,126.9686757,37.52879082,50m
꿈나무어린이집,어린이집,서울특별시 용산구 원효로1가 백범로 329 꿈나무어린이집,126.9657927,37.53839694,50m
용문어린이집,어린이집,서울특별시 용산구 효창원로 88 브라운스톤용산 104-103,126.9591211,37.5364163,50m
새순어린이집,어린이집,"서울특별시 용산구 원효로35길 37-7 1,2층",126.9551914,37.53489413,50m
늘봄어린이집,어린이집,서울특별시 용산구 이촌로2가길 122 105동 106호,126.9551678,37.5250472,50m
새둥지어린이집,어린이집,서울특별시 용산구 이촌로65가길 3 110동 101호,126.9719635,37.52231164,50m
푸른꿈어린이집,어린이집,"서울특별시 용산구 백범로 260 효창파크푸르지오아파트 104동, 1층",126.9583324,37.54023934,50m
샘물어린이집,어린이집,서울특별시 용산구 원효로4가 원효로19길 49,126.9545942,37.53421027,50m
순천향대학교서울병원어린이집,어린이집,서울특별시 용산구 독서당로20길 9-5 1층,127.0048128,37.5316743,50m
지구촌어린이집,어린이집,서울특별시 용산구 회나무로28길 13,126.9921972,37.53937967,50m
더프라임어린이집,어린이집,"서울특별시 용산구 원효로90길 11 (원효로1가, 용산더프라임)",126.9697164,37.54039598,50m
푸른숲속어린이집,어린이집,"서울특별시 용산구 효창원로 17 104동 103호(산천동, 리버힐삼성아파트)",126.9508027,37.53487888,50m
노벨어린이집,어린이집,서울특별시 용산구 후암로22길 10 104호(후암동),126.977295,37.55139781,50m
숙명직장어린이집,어린이집,서울특별시 용산구 청파로47길 100 사회교육관 1층(숙명여자대학교 제2캠퍼스),126.9650748,37.54547273,50m
