"기준일ID","시간대구분","행정동코드","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"20260501","07","11170510","12562.9906","369.6731","204.308","282.9451","221.3832","451.0017","563.954","643.3976","559.8836","551.8547","463.2093","450.5325","389.5645","249.9805","531.2567","381.8035","201.7819","253.5692","396.7938","509.4425","556.6037","713.8061","494.563","583.4072","458.1484","462.3176","420.2011","362.7899","834.8193",""
"20260501","07","11170520","11212.7814","174.0168","93.5639","222.2402","328.4089","496.0716","567.9354","668.8175","546.9454","527.7452","416.2926","395.6751","221.6125","216.3113","410.6758","260.172","147.0537","258.625","413.4184","579.2482","620.4439","587.6245","492.7711","514.0539","353.1376","291.5943","332.8641","265.8122","809.6513",""
"20260501","07","11170530","12865.1202","347.6985","167.7709","337.0319","421.5183","520.843","581.1297","655.2781","561.4884","544.9785","509.0689","596.9146","495.0755","314.3098","535.2848","222.3901","101.251","320.4226","631.7661","653.5799","562.2974","587.7967","469.0769","542.3753","376.7943","503.6612","391.8639","265.4864","647.9681",""
"20260501","07","11170555","21806.7899","357.2957","257.2525","381.7113","695.3026","964.0541","1065.6548","1124.2081","805.5401","801.0809","762.4138","661.6968","512.0059","353.0026","664.1569","365.7788","198.2648","791.1189","2079.6072","1546.6634","1241.4307","1130.3069","782.3695","747.6818","657.057","729.7495","586.0276","394.1722","1151.186",""
"20260501","07","11170560","18584.3812","662.0855","211.5538","336.6115","346.1018","606.359","971.1508","1133.5253","926.277","793.6129","640.3057","595.6328","405.9529","237.1405","542.2872","733.796","217.295","308.691","794.8973","1116.8333","1239.3915","1347.5913","966.6214","768.6969","621.7125","545.7663","530.1468","284.6346","699.7105",""
"20260501","07","11170570","15151.1631","515.1363","230.3386","335.3922","270.3087","517.1849","641.6931","664.3319","620.0755","766.8896","509.2699","612.094","422.0334","264.7501","641.4568","345.1048","276.2007","275.446","575.9159","708.8595","798.9474","801.7684","737.8521","565.2523","567.0837","617.7105","522.5742","364.3102","983.1826",""
"20260501","07","11170580","10442.1213","283.9257","167.6591","218.0798","241.7437","398.3471","461.5242","534.4173","473.5","433.2195","344.4872","343.6524","267.823","149.4343","371.4605","402.5188","189.9123","255.017","427.0699","497.3293","571.552","565.7966","500.5489","391.2877","363.2301","374.0577","303.3527","232.7954","678.3804",""
"20260501","07","11170590","7673.1394","221.065","99.863","202.1014","153.0632","241.6252","300.1601","387.2947","325.3813","304.1198","282.6748","310.8068","205.4302","169.1542","289.5265","248.2043","109.3522","154.1378","230.3406","289.0333","409.3192","464.6974","295.3842","279.7273","264.7522","381.296","297.6052","211.4738","545.5508",""
"20260501","07","11170625","38999.8994","1243.8407","524.8273","841.1616","1883.159","1447.1894","1719.0388","2115.9589","1837.5557","1781.6544","1443.7614","1504.1121","1071.4484","599.7849","1220.413","1158.8773","431.3305","665.736","1412.0619","1859.8257","2109.9798","2308.0254","1776.4876","1657.4782","1399.3925","1370.4201","1088.3701","753.1931","1774.8152",""
"20260501","07","11170630","25487.2052","1453.4107","780.6064","733.2565","513.2968","507.6099","538.9757","886.9632","1074.5106","1140.1311","992.8707","975.7924","725.4602","483.4897","1068.8474","1276.3197","659.2731","639.4083","624.1927","541.0299","692.2043","1157.7198","1327.3138","1312.3519","1225.4166","1019.0431","868.952","616.8026","1651.9557",""
