ÿ"³ëµå ID","Á¤·ù¼Ò¹øÈ£","Á¤·ù¼Ò¸í","XÁÂÇ¥","YÁÂÇ¥","Á¤·ù¼Ò Å¸ÀÔ"
"02919","102000322","¼­¿ï¿ª","126.972535","37.553928","ÀÏ¹ÝÂ÷·Î"
"03001","102000001","ÇÑ°­´ë±³ºÏ´Ü.LGÀ¯ÇÃ·¯½º","126.9631209528","37.5240499441","Áß¾ÓÂ÷·Î"
"03002","102000002","ÇÑ°­´ë±³ºÏ´Ü.LGÀ¯ÇÃ·¯½º","126.9631848403","37.5243060629","Áß¾ÓÂ÷·Î"
"03003","102000003","½Å¿ë»ê¿ª","126.966207","37.527293","Áß¾ÓÂ÷·Î"
"03004","102000004","½Å¿ë»ê¿ª","126.9666192358","37.527920489","Áß¾ÓÂ÷·Î"
"03005","102000005","¿ë»ê¿ìÃ¼±¹","126.9702350163","37.5314970129","Áß¾ÓÂ÷·Î"
"03006","102000006","¿ë»ê¿ìÃ¼±¹","126.9705640624","37.5320503694","Áß¾ÓÂ÷·Î"
"03007","102000007","»ï°¢Áö¿ª.ÀüÀï±â³ä°ü","126.9736858311","37.5351801399","Áß¾ÓÂ÷·Î"
"03008","102000008","»ï°¢Áö¿ª.ÀüÀï±â³ä°ü","126.9741608708","37.5359845015","Áß¾ÓÂ÷·Î"
"03009","102000009","¼÷´ëÀÔ±¸¿ª","126.9725377982","37.543295633","Áß¾ÓÂ÷·Î"
"03010","102000010","¼÷´ëÀÔ±¸¿ª","126.9722320769","37.5437560216","Áß¾ÓÂ÷·Î"
"03011","102000011","°¥¿ùµ¿","126.9722373211","37.5509755993","Áß¾ÓÂ÷·Î"
"03012","102000012","°¥¿ùµ¿","126.9717081909","37.5495337218","Áß¾ÓÂ÷·Î"
"03110","102000018","³²¿µ¿ª.¹ÎÁÖÈ­¿îµ¿±â³ä°ü","126.9719271804","37.542006922","ÀÏ¹ÝÂ÷·Î"
"03111","102000019","³²¿µ¿ª.¹ÎÁÖÈ­¿îµ¿±â³ä°ü","126.972069","37.541823","ÀÏ¹ÝÂ÷·Î"
"03119","102000026","½Å¿ë»ê¿ª3¹øÃâ±¸","126.9673497525","37.5288895698","ÀÏ¹ÝÂ÷·Î"
"03120","102000317","¼­¿ïµå·¡°ï½ÃÆ¼","126.9630603924","37.5321566887","ÀÏ¹ÝÂ÷·Î"
"03121","102000318","¿ë»ê¿ª3¹øÃâ±¸.¿ë»êÂ÷°íÁö","126.9642145682","37.5318079061","ÀÏ¹ÝÂ÷·Î"
"03122","102000029","ÇÑ°­´ë±³ºÏ´Ü","126.963570714","37.5249689864","ÀÏ¹ÝÂ÷·Î"
"03124","102000030","¼­°èµ¿.¼­¿ï¿ª°øÇ×Ã¶µµ15¹øÃâ±¸","126.9693404702","37.5524743044","ÀÏ¹ÝÂ÷·Î"
"03125","102000031","¼­°èµ¿","126.969221961","37.5516704971","ÀÏ¹ÝÂ÷·Î"
"03126","102000032","Ã»ÆÄµ¿","126.9701219815","37.5489916168","ÀÏ¹ÝÂ÷·Î"
