parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_school,dist_to_nosmoking_zone,dist_to_childcare_center,dist_to_tunnel,dist_to_overpass,complaint_count,building_use,target_label
385655,1117000000000000000,후암동 10-1도,도,국유지,1985.2149663565215,126.97690264845869,37.55178968866212,448.82222909,231.9042163,55.62122411,378.67439537,457.19749507,71,미지정,0
385657,1117000000000000002,후암동 56-35 도,도,국유지,30.80084282718599,126.97829226773868,37.54998979918271,290.08214682,276.91751433,105.79817938,492.51702435,298.80121439,71,미지정,0
385658,1117000000000000003,후암동 445-15 도,도,국유지,205.5411632801406,126.97663939994912,37.554327307862366,556.73425837,276.04643486,291.40937857,277.62645335,175.42460596,71,미지정,0
385659,1117000000000000004,후암동 427-6도,도,국유지,650.2881874656887,126.97673121249647,37.55293963941211,575.74979368,205.61175123,178.22879935,309.85950716,329.28871644,71,미지정,0
385660,1117000000000000005,후암동 56-39 도,도,국유지,9.846810799790546,126.97870628502658,37.5502816120518,292.56111223,324.40779698,142.57028451,451.48111832,268.05334596,71,미지정,0
385661,1117000000000000006,후암동 46-9도,도,국유지,372.42477860237705,126.98034338124403,37.55093695960344,130.96326555,474.07836228,224.92339176,367.15480126,178.04426029,71,미지정,0
385662,1117000000000000007,후암동 448-91도,도,국유지,212.93958334543277,126.97741788048639,37.5546916394019,530.17825023,353.65625249,305.57518927,212.9316579,148.19847389,71,미지정,0
385663,1117000000000000008,후암동 58-48 도,도,국유지,148.72652741195634,126.97901147185861,37.55051352051392,257.69221686,361.13743016,175.28148751,420.47064202,249.77332918,71,미지정,0
385664,1117000000000000009,후암동 56-30 도,도,국유지,72.18887049565092,126.97861895958158,37.55013728911081,319.44102132,306.92560129,125.19462622,468.90169434,272.39127416,71,미지정,0
385665,1117000000000000010,후암동 45-40 도,도,국유지,433.4149291620124,126.98083773152382,37.550565329773114,118.41777287,468.14465949,280.5825181,283.53002443,118.45499158,71,미지정,1
385666,1117000000000000011,후암동 43-72 도,도,국유지,136.13173970533535,126.98128486137627,37.551583810201365,45.77558502,546.17413736,278.23315267,224.14529682,207.98722112,71,미지정,0
385667,1117000000000000012,후암동 30-155 도,도,국유지,77.72460568370298,126.98148561169296,37.55121671619346,26.7808753,501.75536061,304.86059896,214.10102448,164.76303742,71,미지정,0
385668,1117000000000000013,후암동 30-172 도,도,국유지,256.1984708184609,126.9805773762585,37.551676942375174,107.08335093,548.5177721,214.8690427,288.84535679,237.17586736,71,미지정,0
385669,1117000000000000014,후암동 30-166 도,도,국유지,1156.236855196301,126.98045038759223,37.55177947116277,121.58808104,550.13327351,202.08949338,275.63322787,252.17147109,71,미지정,0
385670,1117000000000000015,후암동 30-163도,도,국유지,578.8629815289751,126.97962171096258,37.55220106834285,207.65735204,457.99112275,129.11139619,226.84777114,328.84682222,71,미지정,0
385671,1117000000000000016,후암동 448-24도,도,국유지,231.37673835310852,126.97883638799756,37.55306217747871,317.15160884,391.16706184,130.70850238,161.98964708,366.83402305,71,미지정,0
385672,1117000000000000017,후암동 448-25 도,도,국유지,90.31475066952407,126.97883786220001,37.55299395746914,312.6088317,390.26302883,124.02640744,168.11657476,373.43510208,71,미지정,0
385673,1117000000000000018,후암동 448-19 도,도,국유지,63.4128426911775,126.97867091808432,37.55378572904423,380.73101421,396.89842655,202.17833432,114.48126495,291.65592904,71,미지정,0
385674,1117000000000000019,후암동 448-101도,도,국유지,806.9741301871836,126.97784196586458,37.554257174181195,469.78351367,354.20655325,251.60985252,171.49322739,208.09817929,71,미지정,0
385675,1117000000000000020,후암동 448-62 도,도,국유지,79.54975231760181,126.977871839631,37.5544673569829,484.15946223,369.38388035,274.5101245,169.54540248,189.30883972,71,미지정,0
385676,1117000000000000021,후암동 448-15 도,도,국유지,391.08081008773297,126.97822465837045,37.55431731259484,450.51921724,386.53827435,256.52127926,137.54861456,220.77689081,71,미지정,0
385677,1117000000000000022,후암동 27-6도,도,국유지,49.356361041078344,126.97743539542971,37.55071444411327,336.96464976,320.37399678,76.85334817,448.46462926,388.9926136,71,미지정,0
385678,1117000000000000023,후암동 27-16도,도,국유지,93.30376725969836,126.97766347811006,37.55078995164768,350.04094373,333.87210146,74.91140259,431.44117748,372.29635564,71,미지정,0
385679,1117000000000000024,후암동 27-4도,도,국유지,67.18652156647295,126.97746369255286,37.55060645218111,325.86624392,309.40492761,89.0871975,457.72888642,383.34725152,71,미지정,0
385680,1117000000000000025,후암동 15-1 도,도,국유지,74.20288620272186,126.9775126182483,37.55157744069963,432.13317927,290.68784156,27.69949749,364.07094036,485.52896332,71,미지정,0
385681,1117000000000000026,후암동 60-79도,도,국유지,78.79387506772764,126.97784440264292,37.550551713612975,329.67138528,314.15132692,105.71357368,448.16787121,349.28364654,71,미지정,0
385682,1117000000000000027,후암동 66-2도,도,국유지,185.03390976355877,126.97761801686411,37.55058022595605,326.552962,310.4578825,95.12540905,453.96683399,369.42053272,71,미지정,0
385683,1117000000000000028,후암동 257-10도,도,국유지,61.27610171237029,126.9795153393891,37.54626575923702,306.46674624,319.49454984,62.52127829,568.17127578,329.60827825,71,미지정,0
