id,shelter_name,address,lat,lng,domain,category
300001,파리바게트 앞 횡단보도,,126.9771172,37.5500276,smart_shelter,shade_shelter
300002,횡단보도 앞,,126.9771793,37.5502641,smart_shelter,shade_shelter
300003,남산도서관 맞은편 횡단보도,,126.9796865,37.5519794,smart_shelter,shade_shelter
300004,교통섬,,126.9812669,37.5469482,smart_shelter,shade_shelter
300005,신흥로 152 후암동 종점,,126.9813,37.5468,smart_shelter,shade_shelter
300006,기쁨의교회 앞,,126.9770738,37.5507285,smart_shelter,shade_shelter
300007,해방촌 입구 앞 교통섬,,126.986731,37.5387556,smart_shelter,shade_shelter
300008,녹사평역 광장 앞 교통섬,,126.9882,37.5339,smart_shelter,shade_shelter
300009,녹사평역 육교 하단(횡단보도 앞),,126.9868872,37.5348174,smart_shelter,shade_shelter
300010,횡단보도 앞,,126.9724174,37.5421737,smart_shelter,shade_shelter
300011,횡단보도 앞,,126.9724835,37.5418439,smart_shelter,shade_shelter
300012,숙대입구역 2번출구 앞 교통섬,,126.9721,37.5452,smart_shelter,shade_shelter
300013,숙대입구역 10번 출구  뒤 횡단보도 앞,,126.9717,37.5453,smart_shelter,shade_shelter
300014,횡단보도 앞,,126.972199,37.5513233,smart_shelter,shade_shelter
300015,소화병원 맞은편,,126.9691789,37.5537145,smart_shelter,shade_shelter
300016,"숙대입구역 3,4번출구 앞 횡단보도",,126.9723,37.545,smart_shelter,shade_shelter
300017,갑을빌딩 옆 횡단보도,,126.972,37.5494,smart_shelter,shade_shelter
300018,전쟁기념관 앞,,126.9759,37.5347,smart_shelter,shade_shelter
300019,청파선린공원 게이트볼장 내,,126.9663585,37.5435163,smart_shelter,shade_shelter
300020,청파선린공원,,126.9663,37.5434,smart_shelter,shade_shelter
300021,청파선린공원,,126.9662485,37.5434924,smart_shelter,shade_shelter
300022,세븐일레븐 앞 횡단보도,,126.9688743,37.5549512,smart_shelter,shade_shelter
300023,삼일교회 입구 횡단보도 앞,,126.9706085,37.5463228,smart_shelter,shade_shelter
300024,국립극단입구쪽 횡단보도,,126.9688448,37.5530024,smart_shelter,shade_shelter
300025,동민의원 옆 횡단보도 앞,,126.9701988,37.5484105,smart_shelter,shade_shelter
300026,약국 앞,,126.9626,37.5514,smart_shelter,shade_shelter
300027,뚜레쥬르 앞,,126.9704,37.5449,smart_shelter,shade_shelter
300028,만천재 앞 횡단보도,,126.9701475,37.5461595,smart_shelter,shade_shelter
300029,오렌지뮤직 앞 버스정류장,,126.9701466,37.5489053,smart_shelter,shade_shelter
300030,숙명여대 제1캠퍼스 광장 잔디밭,,126.9647107,37.546218,smart_shelter,shade_shelter
300031,숙명여대 제1캠퍼스 광장 잔디밭,,126.9650533,37.5463002,smart_shelter,shade_shelter
300032,숙명여대 제1캠퍼스 광장 잔디밭,,126.9650252,37.5462285,smart_shelter,shade_shelter
300033,신계역사공원 내,,126.9661436,37.5355284,smart_shelter,shade_shelter
300034,신계역사공원 내,,126.9660988,37.5355558,smart_shelter,shade_shelter
300035,교통섬,,126.969289,37.5401815,smart_shelter,shade_shelter
300036,BMW한독모터스 앞,,126.9706199,37.5412962,smart_shelter,shade_shelter
300037,용산리첸시아 앞 교통섬,,126.9667424,37.5380646,smart_shelter,shade_shelter
300038,꿈나무종합타운 앞 교통섬,,126.9659,37.538,smart_shelter,shade_shelter
300039,BMW 한독모터스 맞은편,,126.971,37.5414,smart_shelter,shade_shelter
300040,원효대교 북단 교통섬 내 쉼터,,126.9548271,37.5319856,smart_shelter,shade_shelter
300041,원효대교 북단 교통섬 내 쉼터,,126.9548422,37.532008,smart_shelter,shade_shelter
300042,횡단보도 앞,,126.9516813,37.5328485,smart_shelter,shade_shelter
300043,교통섬,,126.9504332,37.5334286,smart_shelter,shade_shelter
300044,아파트 정문  앞,,126.9493298,37.5340168,smart_shelter,shade_shelter
300045,국립극단 입구 쪽 횡단보도,,126.9551271,37.5319864,smart_shelter,shade_shelter
300046,버스정류장,,126.9581625,37.5341173,smart_shelter,shade_shelter
300047,효창공원 내 매점 앞,,126.9620637,37.5445714,smart_shelter,shade_shelter
300048,효창공원 내 매점 앞,,126.9620633,37.5446173,smart_shelter,shade_shelter
300049,효창파크 푸르지오 입구 옆 횡단보도,,126.9577758,37.5406688,smart_shelter,shade_shelter
300050,롯데캐슬센터포레 앞,,126.9639,37.5386,smart_shelter,shade_shelter
300051,효창공원앞역 4번 출구 버스정류장 옆,,126.9625,37.5388,smart_shelter,shade_shelter
300052,효창공원앞 역 3번 출구 앞,,126.9618,37.5391,smart_shelter,shade_shelter
300053,효창공원앞 역 3번 출구 뒤,,126.9614,37.5391,smart_shelter,shade_shelter
300054,효창공원앞역 6번 출구 뒤,,126.9612,37.5391,smart_shelter,shade_shelter
300055,효창공원역 앞 5번출구 앞,,126.9632229,37.5385984,smart_shelter,shade_shelter
300056,용문시장사거리 룩스토어 앞,,126.960344,37.5377926,smart_shelter,shade_shelter
300057,용문시장사거리 엘리트안경 앞,,126.960226,37.5373417,smart_shelter,shade_shelter
300058,9번 출구 앞 교통섬,,126.9735,37.5359,smart_shelter,shade_shelter
300059,삼각지역 9번 출구 교통섬,,126.9737,37.536,smart_shelter,shade_shelter
300060,삼각지역 8번 출구 앞 교통섬,,126.7076,37.467,smart_shelter,shade_shelter
300061,삼각지역 12번 출구 앞 교통섬,,126.9745,37.5354,smart_shelter,shade_shelter
300062,삼각지역 11번 출구 앞 교통섬,,126.9744,37.5359,smart_shelter,shade_shelter
300063,신용산역 5번출구 앞 횡단보도,,126.9681,37.5298,smart_shelter,shade_shelter
300064,B동 앞,,126.9672032,37.5298111,smart_shelter,shade_shelter
300065,횡단보도 앞,,126.9675405,37.5301749,smart_shelter,shade_shelter
300066,B동 앞 횡단보도(용산역 맞은편),,126.9660478,37.5288941,smart_shelter,shade_shelter
300067,아이파크몰 맞은 편,,126.9652,37.5281,smart_shelter,shade_shelter
300068,써밋 앞 횡단보도(아우디 맞은편),,126.9649583,37.5265407,smart_shelter,shade_shelter
300069,볼보전시장 앞 횡단보도,,126.9649083,37.5263484,smart_shelter,shade_shelter
300070,파파존스 앞 횡단보도,,126.9655298,37.5263133,smart_shelter,shade_shelter
300071,스타벅스 용산전자랜드 앞,,126.9609985,37.5330255,smart_shelter,shade_shelter
300072,금영빌딩 앞 횡단보도,,126.9628011,37.5241646,smart_shelter,shade_shelter
300073,엘지유플러스 앞 횡단보도,,126.9631365,37.5239475,smart_shelter,shade_shelter
300074,드래곤힐스파 건너편 횡단보도,,126.9644976,37.5272006,smart_shelter,shade_shelter
300075,파크타워 아파트 앞,,126.9698,37.5238,smart_shelter,shade_shelter
300076,나진상가 10동 국민은행 앞,,126.9626418,37.5333984,smart_shelter,shade_shelter
300077,국방부 앞 횡단보도,,126.9758487,37.5344938,smart_shelter,shade_shelter
300078,해링턴스퀘어 102동 앞,,126.9679566,37.5247852,smart_shelter,shade_shelter
300079,해링턴스퀘어 101동 앞,,126.9662225,37.525833,smart_shelter,shade_shelter
300080,아모레퍼시픽 앞 횡단보도,,126.9681604,37.5291121,smart_shelter,shade_shelter
300081,신용산역 1번 출구 앞 횡단보도,,126.9689,37.53,smart_shelter,shade_shelter
300082,교통섬(삼각지역),,126.9737,37.5357,smart_shelter,shade_shelter
300083,용산역 한강로2가 422-4,,126.9657,37.5285,smart_shelter,shade_shelter
300084,나진전자월드쪽,,126.9632,37.5331,smart_shelter,shade_shelter
300085,나진전자월드쪽,,126.965,37.528,smart_shelter,shade_shelter
300086,나진전자월드쪽,,126.9651,37.528,smart_shelter,shade_shelter
300087,나진전자월드쪽,,126.9681,37.5296,smart_shelter,shade_shelter
300088,센트럴 정문 쪽 횡단보도 앞,,126.9666118,37.5293077,smart_shelter,shade_shelter
300089,횡단보도 앞,,126.9665816,37.528175,smart_shelter,shade_shelter
300090,신용산역 3번출구 방향 횡단보도 앞,,126.9667493,37.5283558,smart_shelter,shade_shelter
300091,대진음향 맞은편 횡단보도,,126.9579676,37.53265,smart_shelter,shade_shelter
300092,바디프렌드 앞 횡단보도,,126.9588983,37.5328882,smart_shelter,shade_shelter
300093,호반써밋 공사장 앞 횡단보도,,126.9666794,37.5276088,smart_shelter,shade_shelter
300094,파크타워 교통섬,,126.971561,37.5234331,smart_shelter,shade_shelter
300095,파크타워 쪽 횡단보도,,126.9712713,37.5234459,smart_shelter,shade_shelter
300096,용산역 잔디광장 전자게시대 앞,,126.9665024,37.5280452,smart_shelter,shade_shelter
300097,두산위브트레지움 앞 교통섬,,126.9660415,37.5219351,smart_shelter,shade_shelter
300098,한강대교북단 교차로 교통섬,,126.9621,37.5225,smart_shelter,shade_shelter
300099,한석주유소,,126.9652,37.5215,smart_shelter,shade_shelter
300100,횡단보도 앞,,126.9793624,37.5183385,smart_shelter,shade_shelter
300101,사촌 어린이공원 횡단보도 앞,,126.9706787,37.5208063,smart_shelter,shade_shelter
300102,101동 앞,,126.9765427,37.5192427,smart_shelter,shade_shelter
300103,102동 앞,,126.9781822,37.5187454,smart_shelter,shade_shelter
300104,강촌아파트 102동,,126.9714779,37.5206946,smart_shelter,shade_shelter
300105,이촌사랑약국 옆 공원 입구,,126.9813412,37.5177105,smart_shelter,shade_shelter
300106,성촌공원 횡단보도,,126.9532901,37.5300779,smart_shelter,shade_shelter
300107,한강대교 주민쉼터(구.자전거교통안전체험장),,126.9612525,37.5230617,smart_shelter,shade_shelter
300108,한강대교 주민쉼터(구.자전거교통안전체험장),,126.9611366,37.5230602,smart_shelter,shade_shelter
300109,교통섬,,126.9615,37.5223,smart_shelter,shade_shelter
300110,자전거교통안전체험관 앞 교통섬,,126.9616,37.5225,smart_shelter,shade_shelter
300111,이태원역 2번출구 옆,,126.9941776,37.5345885,smart_shelter,shade_shelter
300112,공중화장실 앞,,126.9888952,37.5343009,smart_shelter,shade_shelter
300113,교통섬,,126.9914247,37.530133,smart_shelter,shade_shelter
300114,이태원교회 앞 횡단보도,,126.9903777,37.5343868,smart_shelter,shade_shelter
300115,이태원역 1번출구 횡단보도,,126.9935456,37.5345532,smart_shelter,shade_shelter
300116,이태원동 127-33,,126.9955,37.5345,smart_shelter,shade_shelter
300117,할리스커피 앞,,126.994,37.5343,smart_shelter,shade_shelter
300118,무신사스튜디오 앞,,126.9954,37.5346,smart_shelter,shade_shelter
300119,세븐일레븐 앞,,126.9949628,37.5313944,smart_shelter,shade_shelter
300120,앞 버스정류장,,126.9887409,37.5390908,smart_shelter,shade_shelter
300121,회나무로 91(하얏트 호텔 근처),,126.9966,37.541,smart_shelter,shade_shelter
300122,녹지정 앞,,126.9918081,37.5396869,smart_shelter,shade_shelter
300123,응봉근린공원 관리사무소 옆,,127.0033517,37.5462647,smart_shelter,shade_shelter
300124,제일기획 앞 횡단보도,,126.9988312,37.5350496,smart_shelter,shade_shelter
300125,앞 횡단보도,,126.9984494,37.5352805,smart_shelter,shade_shelter
300126,GS칼텍스 제3한강주유소 앞 교통섬,,127.0075765,37.5328337,smart_shelter,shade_shelter
300127,제천회관 앞,,127.0061975,37.5311447,smart_shelter,shade_shelter
300128,앞 횡단보도,,127.0070665,37.5322508,smart_shelter,shade_shelter
300129,앞 횡단보도,,127.006644,37.531288,smart_shelter,shade_shelter
300130,옆 횡단보도,,127.0068909,37.5305764,smart_shelter,shade_shelter
300131,맞은편 교통섬,,127.0067707,37.5304257,smart_shelter,shade_shelter
300132,앞 교통섬,,127.0074463,37.5301529,smart_shelter,shade_shelter
