관리번호,자치구,와이파이명,도로명주소,설치유형,설치기관,서비스구분,망종류,설치년도,실내외구분,X좌표,Y좌표,작업일자
24서울-0007,용산구,용산 청소년복합문화공간,용산구 한남동 90-4 B1층,6-4. 복지 - 아동청소년,디지털뉴딜(LG U+),공공WiFi,임대망,2024,실내,37.531967,127.00727,2026-07-29 10:56:01.0
24서울-0008,용산구,용산 청소년복합문화공간,용산구 한남동 90-4 B1층,6-4. 복지 - 아동청소년,디지털뉴딜(LG U+),공공WiFi,임대망,2024,실내,37.531967,127.00727,2026-07-29 10:56:01.0
BS101022,용산구,버스정류소_KT용산지사,한강대로,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.531498,126.97024,2026-07-29 10:56:01.0
BS101023,용산구,버스정류소_KT용산지사,한강대로,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.53205,126.970566,2026-07-29 10:56:01.0
BS101024,용산구,버스정류소_갈월동,한강대로,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.550976,126.97224,2026-07-29 10:56:01.0
BS101025,용산구,버스정류소_갈월동,한강대로,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.549534,126.97171,2026-07-29 10:56:01.0
BS101026,용산구,버스정류소_남산예술원,한남동 726-374,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.544437,127.00204,2026-07-29 10:56:01.0
BS101027,용산구,버스정류소_남산체육관,이태원동 260-381,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.542706,126.99279,2026-07-29 10:56:01.0
BS101028,용산구,버스정류소_남산체육관,소월로 280,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.542503,126.99292,2026-07-29 10:56:01.0
BS101029,용산구,버스정류소_남영동주민센터,두텁바위로 27,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.54575,126.97675,2026-07-29 10:56:01.0
BS101030,용산구,버스정류소_남영동주민센터,용산동1가 1-4,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.54536,126.97506,2026-07-29 10:56:01.0
BS101031,용산구,버스정류소_남영역,갈월동 100-5,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.540813,126.97103,2026-07-29 10:56:01.0
BS101032,용산구,버스정류소_남영역,원효로1가 115-2,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.54057,126.97067,2026-07-29 10:56:01.0
BS101033,용산구,버스정류소_동빙고동,동빙고동 97-3,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.521183,126.99686,2026-07-29 10:56:01.0
BS101034,용산구,버스정류소_문배동이안아파트앞,한강로1가 1-4,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.53887,126.97106,2026-07-29 10:56:01.0
BS101035,용산구,버스정류소_문배동이안아파트앞,청파로 213,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.53827,126.97067,2026-07-29 10:56:01.0
BS101036,용산구,버스정류소_보광신동아아파트삼성리버빌아파트,보광동 130-6,5-1. 버스정류소(국비),버스정류소(국비_KT_LTE),과기부WiFi,임대망,2021,실외,37.52474,127.00203,2026-07-29 10:56:01.0
