시설이름,경도,위도
효창공원(근린공원),126.9622909,37.54495741
새나라(어린이공원),126.976552,37.54791488
삼각지(어린이공원),126.9754551,37.534406
한마음(어린이공원),126.9700205,37.528437
늘푸른(어린이공원),126.9565572,37.53479369
청파(어린이공원),126.9682992,37.553547
꿈나무(소공원),126.971702,37.520776
새싹(어린이공원),126.954469,37.526912
동자(어린이공원),126.9739452,37.550084
소월길(어린이공원),126.989227,37.543548
이촌(소공원),126.979774,37.518755
새푸리(소공원),126.967826,37.521589
효창(어린이공원),126.9585555,37.54279367
강변(소공원),126.975018,37.521325
이태원(어린이공원),126.989012,37.53840553
도원(어린이공원),126.955071,37.537199
비상(소공원),126.971379,37.522317
청탑(소공원),126.977273,37.51783937
새꿈(어린이공원),126.974457,37.55254767
사촌(소공원),126.970908,37.520618
강변복지(소공원),126.965884,37.521102
돌모루(어린이공원),126.968524,37.542716
문배(어린이공원),126.9698073,37.53661975
솔밭(어린이공원),126.973641,37.537225
신창동(어린이공원),126.9541101,37.536643
서계가로(어린이공원),126.964238,37.55127635
응봉(근린공원),127.0047763,37.544968
기와터(근린공원),126.969648,37.52581297
서빙고(근린공원),126.9712832,37.52478697
신계(역사공원),126.9662814,37.53508032
이태원마을숲(소공원),126.991487,37.541744
독서당(소공원),127.012449,37.5345083
한남(소공원),127.013853,37.537214
이태원어린이놀이터(소공원),126.989923,37.535647
별님(소공원),126.969203,37.538104
한강대로(소공원),126.9635746,37.52410583
이태원부군당(역사공원),126.989729,37.53587802
동빙고(근린공원),126.983958,37.517378
두텁바위(어린이공원),126.973744,37.552149
후암(어린이공원),126.9839081,37.547128
해님(소공원),126.9703774,37.539022
달님(소공원),126.969726,37.538368
이촌한우리(소공원),126.981145,37.5172264
신용산(가로공원),126.969098,37.529168
