id,shelter_name,address,lat,lng,domain,category
400142,[한파쉼터] 한파쉼터_142,서울특별시 용산구 후암로 32-6  (후암동),37.5486923,126.9781405,smart_shelter,heating_shelter
400143,[한파쉼터] 한파쉼터_143,서울특별시 용산구 후암로13가길 25,37.5481297,126.976385,smart_shelter,heating_shelter
400144,[한파쉼터] 한파쉼터_144,서울특별시 용산구 신흥로 90  (용산동2가),37.5459639,126.9855058,smart_shelter,heating_shelter
400145,[한파쉼터] 한파쉼터_145,서울특별시 용산구 신흥로3가길 21-7,37.5410043,126.984648,smart_shelter,heating_shelter
400146,[한파쉼터] 한파쉼터_146,서울특별시 용산구 두텁바위로 25  (갈월동),37.5457597,126.9748896,smart_shelter,heating_shelter
400147,[한파쉼터] 한파쉼터_147,서울특별시 용산구 한강대로84길 21-13  (남영동),37.5443051,126.9734976,smart_shelter,heating_shelter
400148,[한파쉼터] 한파쉼터_148,서울특별시 용산구 한강대로72길 21-15  (남영동),37.5412825,126.9743835,smart_shelter,heating_shelter
400149,[한파쉼터] 한파쉼터_149,서울특별시 용산구 원효로97길 30,37.542145,126.968955,smart_shelter,heating_shelter
400150,[한파쉼터] 한파쉼터_150,서울특별시 용산구 청파로83길 26,37.5519748,126.967693,smart_shelter,heating_shelter
400151,[한파쉼터] 한파쉼터_151,서울특별시 용산구 청파로49길 6  (청파동2가),37.545479,126.9698846,smart_shelter,heating_shelter
400152,[한파쉼터] 한파쉼터_152,서울특별시 용산구 청파로49길 34,37.5454608,126.968465,smart_shelter,heating_shelter
400153,[한파쉼터] 한파쉼터_153,서울특별시 용산구 백범로 329 (원효로1가),37.5387779,126.9652971,smart_shelter,heating_shelter
400154,[한파쉼터] 한파쉼터_154,서울특별시 용산구 백범로77길 40,37.53979,126.96552,smart_shelter,heating_shelter
400155,[한파쉼터] 한파쉼터_155,서울특별시 용산구 백범로 350  (문배동),37.5372357,126.9676262,smart_shelter,heating_shelter
400156,[한파쉼터] 한파쉼터_156,서울특별시 용산구 효창원로8길 3  (산천동),37.5343006,126.9515491,smart_shelter,heating_shelter
400157,[한파쉼터] 한파쉼터_157,서울특별시 용산구 원효로41가길 14-19,37.5347983,126.956884,smart_shelter,heating_shelter
400158,[한파쉼터] 한파쉼터_158,서울특별시 용산구 효창원로 161  (효창동),37.5424761,126.9618058,smart_shelter,heating_shelter
400159,[한파쉼터] 한파쉼터_159,서울특별시 용산구 효창원로69길 8 (새마을금고),37.5418,126.961731,smart_shelter,heating_shelter
400160,[한파쉼터] 한파쉼터_160,서울특별시 용산구 새창로12길 13  (도원동),37.5389627,126.9574499,smart_shelter,heating_shelter
400161,[한파쉼터] 한파쉼터_161,서울특별시 용산구 효창원로37라길 11,37.537888,126.9581749,smart_shelter,heating_shelter
